"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Burkina Faso","BFA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","29","34","34","34","35","40","45","50","55","60","65","70","75","80","85","90","95","100","110","115","120","120","120","120","120","121","423","480","660","840","1021","1200","1380","1560","1933","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","750","800","850","900","950","1000","1100","1300","1500","2072","2270","2470","2660","2860","3050","3250","3454","3500","3500","3500","3350","3200","3075","2950","2800","2700","2580","2450","2300","2180","2050","1925","1800","1675","1550","1400","1300","1200","1080","1000","900","800","700","450","1555","3000","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","27701","30749","34566","38887","42040","45062","46892","50788","53005","53618","55270","58000","60000","62000","64689","65513","65020","64417","63445","61968","60522","59584","58251","56700","55161","54180","53640","53679","53653","52375","50399","47411","37431","37750","38300","38850","39400","40000","40898","34709","32602","32071","31606","30962","36252","41046","46259","53100","","","","","","","","","","","","","","",
"Bahrain","BHR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","8","8","8","8","8","8","8","9","9","9","9","9","20","22","14","14","12","11","10","12","15","17","16","13","13","10","8","5","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","29","32","35","38","41","44","47","50","50","53","56","59","62","65","68","71","74","77","80","83","86","89","92","95","98","101","104","107","110","113","116","119","122","125","128","98","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20000","25000","29000","29000","29000","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125900","123400","125691","115943","101800","96300","84600","78170","72902","66866","62303","58796","55330","53581","52613","50436","49517","48100","","","","","","","","","","","","","",
"Belize","BLZ","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","211","269","314","402","400","450","500","525","550","573","596","619","642","665","688","710","734","757","780","803","825","845","870","893","940","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","40","40","40","40","45","50","52","52","52","52","50","50","45","40","36","34","35","36","37","40","40","40","40","40","40","44","48","48","47","47","48","48","48","45","45","45","45","45","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","1300","1400","1500","1600","1700","1800","1900","2000","2100","2200","2300","2400","2600","2800","3000","3200","3400","3600","3800","4000","4200","4400","4500","4600","4750","4900","5000","5100","5100","5200","5300","5350","5350","5350","5500","5600","5700","5700","5700","6000","","","","","","","","","","","","","","","","","","","","","","",
