"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"United Kingdom","GBR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","459010","468000","475000","482210","475000","465220","462363","455375","462376","446813","458468","464915","470000","475796","494738","482871","480280","480280","508174","512494","515455","520808","529438","523740","525549","520495","519495","515000","509780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23500","20000","18200","16600","16600","12000","17240","18147","17199","17838","21860","18500","15096","17600","20000","27500","","","","","","","","","","","","","","","",
"Ghana","GHA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","1000","1500","1800","2234","2124","2116","2108","2100","2092","2084","2076","2068","2060","2052","2044","2036","2028","2020","2012","2004","1996","1988","1980","1972","1964","1956","1948","1940","1932","1924","1916","1908","1900","1892","1884","1876","1868","1860","1952","1944","1936","1928","1920","1912","1807","","","","","","","","","","","","","","","","","",
"Gibraltar","GIB","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","381","581","780","980","1180","1379","1579","1778","1978","2178","2377","2577","2777","2976","3176","3375","3575","3775","3974","4174","4120","4067","4013","3959","3906","3852","3798","3744","3691","3637","3583","3530","3476","3422","3476","3858","4241","4623","5006","5388","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","37","43","43","43","43","44","44","44","44","45","45","45","45","46","46","46","47","46","46","45","44","44","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","3","5","10","12","12","12","12","13","13","13","13","14","14","14","14","15","15","15","16","16","16","17","17","17","18","18","18","19","19","19","19","19","19","19","19","19","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","22630","24530","28500","33500","39318","44774","50857","52300","57000","61945","67536","70540","77802","84043","93424","102656","112650","122268","132000","140305","152254","159516","168715","178857","183410","193257","203161","207567","211651","215755","223718","228051","231177","234844","236197","240125","242446","242678","249819","253785","254527","256858","257737","258476","259766","259613","","","","","","","","","","","","","","","","",
"Grenada","GRD","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","12","12","13","14","17","19","20","22","22","22","22","22","22","22","22","22","23","24","25","25","24","23","22","21","20","20","19","18","17","16","15","14","13","13","13","12","12","12","12","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","38","40","42","44","46","48","50","52","54","56","58","60","62","64","66","68","70","72","74","76","78","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","1950","2100","2250","2400","2550","2700","2850","3000","3100","3150","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guam","GUM","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","59","56","46","46","89","95","59","65","68","70","72","74","74","75","75","75","77","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","3240","3250","3260","3270","3280","3290","3300","3310","3320","3330","3340","3350","3360","3370","3380","3390","3401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","9210332","9551528","9914656","10275019","10594894","11575352","11829246","12080061.52","12341753.12","12468822.72","12673714.08","12848676.08","13074282.88","13443742.04","13456593.48","13710593.32","14010768.32","14282683","14420508","14899564","14989080","15263777","15476147","15670531","16077802","16286542","16464924","16437959","16514949","16023315","15763511","15808750","15993708","16162178","16252435","16242202","16248526","16299306","16335577","16317861.5","15428452","15585456","13737793","13663311","","","","","","","","","","","","","","","","","","",
"Hong Kong SAR, China","HKG","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","2","2","2","2","2","2","2","2","2","2","2","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","304","307","309","340","395","430","910","1170","1430","1700","1950","2210","2480","2746","2830","2910","3000","3080","3200","3320","3440","3560","3680","3800","3918","4040","4155","4275","4395","4520","4650","4750","4874","4930","4985","5040","5100","5155","5200","5200","","","","","","","","","","","","","","","","","","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","33574","35669","36614","37956","39924","42451","45932","48803","51517","54238","52275","53617","50732","51225","51742","52914","53968","49468","49701","50909","51471","52240","52040","52469","52522","52713","52666","47369","47649","47712","49435","49455","49931","50238","50988","51037","54285","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4263","4251","4006","3515","3052","2985","2650","2325","2300","2386","4242","","","","","","","","","","","","","","","","","","","","",
"Haiti","HTI","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","80","85","90","95","100","105","110","115","120","125","130","135","140","145","150","155","160","165","170","175","180","185","190","195","200","205","210","215","220","200","180","170","160","150","140","135","136","146","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","44167","49404","54893","59971","63506","66795","66856","66452","66606","67946","67037","64865","63527","62361","62138","61003","59771","57977","57057","55452","54912","55335","55611","55414","55317","53947","53507","52765","50388","49400","91913","92000","92100","92150","92200","92215","92250","92270","92300","113306","114740","116175","117610","119044","120477","","","","","","","","","","","","","","","","","",
"IBRD only","IBD","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","871623","940438","1020282","1098318","1181828","1281925","1389832","1502414.52","1618138.12","1647470.72","1793947.08","1942706.08","2116614.88","2306016.04","2594167.48","2802673.32","3047375.32","3324055","3660369","3900438","4194209","4382365","4566117","4805302","5114020.57","5367602.14","5586114.71","5767746","6016568","6155455","6269418","8772395","8785421","8908792","8928233","8912259","9053402","9125369","9314581.5","9626651","8744833","8983301","","","","","","","","","","","","","","","","","","","","",
"IDA & IBRD total","IBT","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","938248","1012059","1095070","1176380","1264098","1370713","1486670","1605809.52","1732104.12","1770390.72","1919043.08","2079767.08","2252981.88","2449151.04","2744934.48","2972013.32","3234795.32","3524139","3877156","4132889","4445175","4648737","4854137","5114206","5429651.57","5710491.14","5956954.71","6160869","6438925","6605139","6729009","9311453","9317298","9435321","9511144","9506093","9667692","9739858","9946688.5","10239895","","","","","","","","","","","","","","","","","","","","","","",
"IDA total","IDA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","66625","71621","74788","78062","82270","88788","96838","103395","113966","122920","125096","137061","136367","143135","150767","169340","187420","200084","216787","232451","250966","266372","288020","308904","315631","342889","370840","393123","422357","449684","459591","539058","531877","526529","582911","593834","614290","614489","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","27124","28065","28724","29412","30569","34316","38524","40438","46242","50692","53433","61135","61325","65537","68385","82216","96308","110649","124236","135528","150623","161429","181153","199675","200264","223140","245537","268867","292394","315703","323508","335869","322018","308060","361492","378139","390804","378696","389938","","","","","","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","50","50","50","50","100","100","100","100","100","150","150","150","150","155","210","240","510","1820","1820","2100","2745","3390","3390","3652","3915","4175","4048","4316","4620","4524","4997","5470","5942","6033","6124","5139","4483","4656","4334.5","4013","3748","4097","","","","","","","","","","","","","","","","","","","","",
"IDA only","IDX","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","39501","43556","46064","48650","51701","54472","58314","62957","67724","72228","71663","75926","75042","77598","82382","87124","91112","89435","92551","96923","100343","104943","106867","109229","115367","119749","125303","124256","129963","133981","136083","203189","209859","218469","221419","215695","223486","235793","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","31016","35000","40000","44000","48000","54012","66000","78000","90000","100000","143000","170000","184293","203351","227668","250884","294313","334138","378714","382869","417769","461567","502581","553555","607773","648932","697568","750935","925365","988070","1063012","1136160","1195013","1257630","1354864","1502000","1650000","1797000","1944000","2091000","2238000","2385000","2532900","","","","","","","","","","","","","","","","","","","",
"Not classified","INX","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","45500","48100","51500","54900","60167","64200","66400","72000","77700","84349","89900","94000","98300","106000","114217","120000","125000","130000","135000","145100","148000","150000","152000","155000","158000","160500","163000","165000","167000","169000","171000","172000","173000","174500","176500","178000","179557","174414","169123","159525","160920","162310","163700","169250","174800","","","","","","","","","","","","","","","","","",
"Iran, Islamic Rep.","IRN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","8000","10000","11000","13000","14500","16000","17500","18000","19000","20000","21500","22940","31673","37800","43900","50000","56062","63500","70942","78000","85000","93051","110000","130000","150000","170000","185000","195981","205000","215000","220000","228005","228200","228400","228600","228800","290000","230000","228000","228000","244448","257008","257098","249637","287365","298000","308422","","","","","","","","","","","","","","","",
"Iraq","IRQ","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","3300","3700","4500","5400","6500","7700","8922","10000","12000","14000","15000","17000","18000","19000","20222","20000","20000","20000","20058","23350","26600","29956","35552","36005","38000","40915","40000","39000","38186","38186","38186","37500","37161","37161","49640","49640","49600","49600","49600","46078","72775","","","","","","","","","","","","","","","","","","","","","",
"Iceland","ISL","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","6177","6479","7187","7340","7940","8640","9340","9840","9860","9882","10200","10500","10800","11100","11400","11700","12000","12300","12700","13200","13500","13800","14000","14000","13200","13200","13000","12000","11400","11467","11147","10852","10515","10434","10519","10000","9500","8925","9051","9019","9019","10900","10789","10750","10928","11144","11403","11525","11432","","","","","","","","","","","","","",
"Israel","ISR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","7485","8505","9300","10190","10470","11430","12395","13765","15505","16360","16005","16655","17830","19535","19250","21100","22850","24300","25600","26800","26500","26800","27475","26870","26254","28248","28662","28444","28400","27400","25920","25790","25500","25300","24900","24620","24345","24065","23785","23500","23230","22950","22670","22395","22115","21850","21560","21280","","","","","","","","","","","","","","",
"Italy","ITA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","272849","304893","338584","377107","419943","460893","509234","542791","584214","614712","657269","698278","742766","780602","819334","865715","909580","953197","1006080","1072168","1105593","1139050","1169513","1197998","1227134","1269147","1315427","1362932","1399375","1429756","1455811","1431256","1464322","1490767","1522463","1541227","1561363","1601025","1620084","1643613","1695989","1754401","","","","","","","","","","","","","","","","","","","","",
"Jamaica","JAM","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","1558","1700","1900","3000","3940","4900","1450","1550","1650","1745","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Jordan","JOR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","890","1081","1269","1562","1872","2168","2328","2507","2662","2758","2856","3149","3300","3547","3748","3914","4074","4223","4343","4561","4799","4748","4778","4795","4914","5553","5673","5673","5800","6100","6600","7100","7400","7634","6500","4700","4773","4800","5440","5732","5770","5960","6149","6000","5520","5483","5357","5483","","","","","","","","","","","","","","",
"Japan","JPN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","6978","10746","17157","24846","60000","90000","124300","200000","278000","278000","278170","290840","341280","550000","721090","832000","952000","1095860","1095800","1471400","1412900","1526000","1584300","1650300","1853600","1833900","1904070","1984590","2049120","2142210","1966000","2003000","2041000","2060000","2123000","2122000","2121000","2120000","2120000","2027674","2004284","1980894","1957504","1934114","1910724","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217435","212082","196242","170185","142383","108121","64249","54982","52084","50811","50154","46669","45791","44116","43715","40228","","","","","","","","","","","","","","","",
"Kenya","KEN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","6422","6418","6111","5783","5729","6145","6617","4904","5998","7247","5891","6028","5721","6195","6013","5982","6186","6449","6374","6546","6399","6650","8568","8800","9000","9200","9400","9600","9800","10000","10200","10500","10800","11000","11200","11400","11600","11800","12000","12200","12568","12844","","","","","","","","","","","","","","","","","","","","",
"Kyrgyz Republic","KGZ","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25000","26000","27176","24802","19670","22000","25819","25930","25512","25307","21921","22500","23100","23700","24531","24485","24445","","","","","","","","","","","","","","",
"Cambodia","KHM","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","600","700","813","924","850","1000","1048","1158","1233","1233","1233","1233","1233","1233","1233","1233","1233","1233","1233","1233","1233","1233","1233","1233","1233","1200","1200","1200","1200","1200","1190","1190","1190","1190","1190","1190","1227","1540","1855","2166","2602","3293","3310","3857","4166","4247","4475","4611","","","","","","","","","","","","","","",
"Kiribati","KIR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","2","2","6","6","10","10","10","10","10","9","9","9","13","13","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","167","170","199","172","176","174","174","172","172","195","206","204","190","185","180","175","170","165","160","155","150","145","140","135","130","125","120","115","110","105","100","95","90","85","80","150","150","150","155","145","141","137","133","129","125","82","22","22","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","24","24","24","30","35","40","34","68","100","61","183","212","293","388","564","790","1121","1601","2035","2664","3862","5575","7649","9684","12389","16167","19863","24616","31328","41203","52973","64159","76800","88706","100412","113287","131358","157888","176146","191631","201089","206371","211576","219664","227873","236707","243662","253531","","","","","","","","","","","","","","",
"Kuwait","KWT","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","2","2","2","2","3","4","5","6","7","9","9","9","9","18","14","20","25","25","29","25","24","24","23","23","60","102","100","96","92","88","86","84","82","80","78","76","75","82","87","89","92","99","105","105","105","107","109","109","","","","","","","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","306264","336793","367276","395262","420094","443845","463486","486738","521256","542678","563623","579438","610597","624962","717175","741053","780155","838472","906098","963011","1061669","1082983","1113426","1144150","1197790.57","1261176.14","1319535.71","1380840","1416593","1454663","1482882","1487598","1492246","1501872","1506640","1498017","1490641","1459311","1451515","1444131","","","","","","","","","","","","","","","","","","","","","","",
"Lao PDR","LAO","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","30","33","35","37","55","66","100","200","396","296","326","350","360","360","380","400","420","440","450","464","664","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lebanon","LBN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","1125","1130","1420","1720","1900","2080","2176","2250","2350","2500","2700","2850","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","3000","3200","3400","3600","3800","4000","4500","5000","5610","5610","8256","","","","","","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libya","LBY","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","2570","2700","2800","3000","3100","3200","3350","3500","3700","3850","4400","6000","7800","10900","14000","14800","16000","20000","22500","23200","24800","26000","26900","27000","27100","27200","27320","29216","29696","33272","33877","34482","35087","35692","36297","36902","37507","38112","39450","39733","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","25","27","30","33","35","37","39","41","43","45","50","53","58","60","65","66","70","70","75","80","85","85","85","85","85","85","90","100","110","120","125","130","135","140","146","146","146","140","138","135","128","120","110","95","85","70","14","","","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","381412","413450","445320","476556","504271","529661","550727","575368.52","611887.12","635386.72","658675.08","675815.08","712069.88","725150.04","823517.48","851035.32","893575.32","918590","986764","1043294","1143015","1164524","1194951","1225922","1280145.57","1347784.14","1408868.71","1465797","1500125","1535917","1565880","1573242","1580110","1589756","1596799","1589672","1592951","1562983","","","","","","","","","","","","","","","","","","","","","","","","",
"Least developed countries: UN classification","LDC","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","31134","34003","35269","37590","40166","43588","47895","51996","56768","61237","60692","55708","53050","53768","55587","56423","57338","55864","56352","58108","57268","57402","57401","58827","58726","59180","59695","55926","57359","57437","56255","58614","62049","65380","63996","63652","68853","74650","","","","","","","","","","","","","","","","","","","","","","","","",
"Low income","LIC","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","24130","27614","31055","32928","35383","38294","42862","47102","50867","55288","54602","58543","58016","61085","65895","71732","75831","83205","91528","100447","110687","121303","129184","136175","75009","79030","83845","80802","84813","88079","92480","96377","100029","105527","113963","112793","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liechtenstein","LIE","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","447","450","453","455","457","460","463","466","469","462","455","448","440","433","425","429","433","437","441","446","444","442","440","436","432","435","435","440","440","446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","4636","5748","6620","7011","7293","8500","9700","11000","12200","13500","14776","15000","15200","15400","15576","15826","16256","18755","17560","16350","15170","13976","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lower middle income","LMC","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","172443","185556","198841","211160","222858","242081","276746","298066","325645","349142","404291","436682","465980","501080","541081","589054","659902","735684","815040","841553","906832","975254","1042701","1153694","1253124","1349650","1440845","1539029","1743521","1862882","1975933","2644588","2725612","2807277","2947307","3092086","3293686","3352518","3515953.5","3581452","3681352","3835704","","","","","","","","","","","","","","","","","","","","",
"Low & middle income","LMY","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","762636","822780","889099","949125","1006529","1099753","1201002","1298246","1409611","1422595","1541481","1664556","1798115","1950167","2203923","2381371","2608121","2896410","3199478","3406366","3661638","3817664","3982965","4193077","4314817.57","4531091.14","4723071.71","4892986","5136394","5290581","5418952","7986810","7995669","7955752","8018988","8027759","8173905","8243421","8456176.5","8750870","","","","","","","","","","","","","","","","","","","","","","",
"Lesotho","LSO","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","137","140","170","200","230","260","290","320","350","380","570","750","939","1000","1075","1140","1210","1280","1350","1400","1450","1500","1500","1550","1600","1650","1700","1750","1800","1830","1850","1850","1850","1850","2000","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Late-demographic dividend","LTE","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","450686","491721","540279","587254","647587","714276","774043","851652.52","927437.12","937669.72","1025480.08","1126823.08","1239989.88","1356916.04","1563513.48","1697692.32","1853364.32","2064013","2309775","2519967","2672995","2784518","2883733","2999862","3094572","3201869","3289514","3338075","3375378","3381292","3382820","5213739","5182857","5287323","5201684","5092238","5042846","5051672","5112723","5298514","4208757","4353496","3591072","3525406","3533243","","","","","","","","","","","","","","","","","",
"Lithuania","LTU","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73856","81624","83727","87344","91261","94500","97300","101012","102000","102227","103000","105400","107800","110200","113200","114900","117580","","","","","","","","","","","","","","",
"Luxembourg","LUX","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7165","7284","7042","6926","6787","6898","6673","6421","6446","","","","","","","","","","","","","","",
"Latvia","LVA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61400","57600","55600","50500","63000","56938","53366","54919","55815","55644","56498","55294","55697","56100","57830","59562","","","","","","","","","","","","","","","",
"Macao SAR, China","MAC","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","8000","8100","8200","8400","8611","9000","9400","9800","10132","10700","11600","12622","14048","15601","17552","19785","20056","21632","23887","24684","29712","31084","31586","31299","32000","32800","33500","34278","36700","39155","41000","41000","41000","41000","41000","41000","43226","43226","43226","","","","","","","","","","","","","","","","","","","","","","","",
"Monaco","MCO","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53833","51900","50000","49966","48000","46000","44000","42132","41854","41025","40195","39900","39600","39313","38200","37000","35984","","","","","","","","","","","","","","",
"Madagascar","MDG","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","939","1100","1300","1500","1700","1900","2100","2300","2410","2405","2260","2281","1922","1563","1550","1510","1411","1600","1950","1894","1838","1782","1726","1670","1614","1558","1502","1446","1390","1334","1278","1222","1166","1110","1054","998","942","886","830","774","718","662","606","550","","","","","","","","","","","","","","","","","","",
"Maldives","MDV","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East & North Africa","MEA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","86603","92843","98803","106364","113068","121936","138439","144708","153783","160892","167201","178313","196446","213723","230224","246215","259476","283791","310374","329884","355550","379282","410360","445967","492569","530939","558904","577779","582909","615496","636149","646677","674436","679365","712942","712633","776875","723752","721141","670961","669973","614372","615574","612056","656675","","","","","","","","","","","","","","","","","",
"Mexico","MEX","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","56000","60000","64000","68000","72000","76000","80150","83900","87600","91354","92800","94300","95700","97200","98700","100100","101611","108259","114000","115057","143078","146083","152319","155000","178570.57","202141.14","225711.71","250000","272900","300000","317313","312408","307503","302597","297692","292787","287882","282977","278072","273166","268261","263356","258451","253546","248640","243735","238830","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle income","MIC","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","738506","795166","858044","916197","971146","1061459","1158140","1251144","1358744","1367307","1486879","1606013","1740099","1889082","2138028","2309639","2532290","2813205","3107950","3305919","3550951","3696361","3853781","4056902","4239808.57","4452061.14","4639226.71","4812184","5051581","5202502","5326472","7890433","7895640","7850225","7905025","7914966","8060095","8123486","8333885.5","8625254","","7925001","","","","","","","","","","","","","","","","","","","","",
"North Macedonia","MKD","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44253","47638","52036","53977","54000","54000","54000","54000","54000","54000","53800","53800","53700","53700","53650","53606","","","","","","","","","","","","","","","",
"Mali","MLI","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","89","104","150","200","250","300","450","490","530","570","610","650","690","720","750","770","790","810","830","900","1000","1100","1200","1300","1400","1500","1600","1750","1900","2100","2200","2300","2400","2450","2515","2400","2250","2150","2000","1885","1750","1712","678","700","743","1250","1300","","","","","","","","","","","","","","","",
"Malta","MLT","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","98","103","108","107","86","91","97","111","129","143","155","174","322","325","329","335","411","405","398","410","433","437","440","443","445","447","448","448","448","448","449","450","450","450","510","496","615","734","853","972","1091","1092","","","","","","","","","","","","","","","","","","","","",
"Myanmar","MMR","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","900","1500","1800","2200","2891","3000","3339","3644","4473","5259","5615","7231","7400","7661","7800","8000","8319","8173","8661","9273","8280","8528","8745","9859","10026","10204","10617","12000","13000","13000","10000","10000","11000","12000","7818","8036","8700","9803","10209","10606","10304","8800","9500","10315","10665","11207","11475","11551","","","","","","","","","","","","","","",
"Middle East & North Africa (excluding high income)","MNA","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","78758","83950","89057","95563","101958","109804","125275","130100","137376","143565","150177","160571","177321","192702","209374","223393","234607","257267","282342","300426","326146","349274","379371","415270","462025","497884","524928","543415","547970","580643","602176","611942","639397","643813","677472","677423","741719","688548","695873","645743","645277","589945","592511","589282","634372","652999","","","","","","","","","","","","","","","","",
"Montenegro","MNE","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mongolia","MNG","Agricultural machinery, tractors","AG.AGR.TRAC.NO","","2300","3100","3900","4100","4300","4200","4600","4800","4600","5500","6200","6300","6900","7200","8100","8500","9300","9600","9600","9700","10000","10400","10800","10800","11100","11129","11697","11869","11477","11000","10000","9000","8000","7800","7321","7011","6400","5800","5200","4700","4530","4360","4200","4100","4000","3900","3566","3232","","","","","","","","","","","","","","",
